match-baseline preparation tick 0 team0=5/100 supply=9/30 team1=5/100 supply=9/30 team2=5/100 supply=9/30 team3=5/100 supply=9/30
match-latency slow_step tick=7146 phase=preparation update_wall_ms=21.864 monotonic_ms=7453.558 wall_epoch_ms=1789394076781.732 profile_collected=1 profile_tick=7146 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.795 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2200 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.864
match-latency slow_step tick=7223 phase=preparation update_wall_ms=23.273 monotonic_ms=7534.858 wall_epoch_ms=1789394076863.033 profile_collected=1 profile_tick=7223 setup_ms=0.000 production_ms=0.005 movement_economy_ms=23.204 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=6552 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=23.273
match-latency slow_step tick=7229 phase=preparation update_wall_ms=24.101 monotonic_ms=7562.264 wall_epoch_ms=1789394076890.439 profile_collected=1 profile_tick=7229 setup_ms=0.000 production_ms=0.006 movement_economy_ms=24.032 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=21240 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=24.101
match-latency slow_step tick=7310 phase=preparation update_wall_ms=21.437 monotonic_ms=7640.919 wall_epoch_ms=1789394076969.094 profile_collected=1 profile_tick=7310 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.369 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=6504 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.437
match-latency slow_step tick=7311 phase=preparation update_wall_ms=21.957 monotonic_ms=7662.787 wall_epoch_ms=1789394076990.961 profile_collected=1 profile_tick=7311 setup_ms=0.000 production_ms=0.007 movement_economy_ms=21.889 vision_ms=0.061 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=14756 terrain_misses=2108 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.957
match-latency slow_step tick=7323 phase=preparation update_wall_ms=21.582 monotonic_ms=7693.004 wall_epoch_ms=1789394077021.179 profile_collected=1 profile_tick=7323 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.514 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=6456 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.582
match-latency slow_step tick=7349 phase=preparation update_wall_ms=21.370 monotonic_ms=7740.710 wall_epoch_ms=1789394077068.885 profile_collected=1 profile_tick=7349 setup_ms=0.000 production_ms=0.005 movement_economy_ms=21.301 vision_ms=0.063 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2136 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=21.370
match-latency slow_step tick=7353 phase=preparation update_wall_ms=32.992 monotonic_ms=7765.708 wall_epoch_ms=1789394077093.883 profile_collected=1 profile_tick=7353 setup_ms=0.000 production_ms=0.005 movement_economy_ms=32.923 vision_ms=0.062 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=0 terrain_misses=80964 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=32.992
match-latency slow_step tick=8164 phase=preparation update_wall_ms=20.348 monotonic_ms=8384.663 wall_epoch_ms=1789394077712.840 profile_collected=1 profile_tick=8164 setup_ms=0.000 production_ms=0.004 movement_economy_ms=20.278 vision_ms=0.064 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=2060 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=20.347
match-latency slow_step tick=8166 phase=preparation update_wall_ms=22.718 monotonic_ms=8409.449 wall_epoch_ms=1789394077737.628 profile_collected=1 profile_tick=8166 setup_ms=0.000 production_ms=0.004 movement_economy_ms=22.647 vision_ms=0.066 combat_ms=0.001 ai_ms=0.000 completion_ms=0.000 terrain_hits=4240 terrain_misses=0 terrain_saturation_misses=0 terrain_resets=0 terrain_pages=1024 terrain_targets=4532 terrain_payload_bytes=4194304 profile_total_ms=22.718
