PID     Executable Path                                                                                                                                                                  
28187   /private/var/containers/Bundle/Application/2D8BFEAD-9E3D-4B1C-A815-F2BDC84462ED/WhatsApp.app/WhatsApp                                                                            
28191   /private/var/containers/Bundle/Application/6482D94D-A80A-423C-9E4F-03846AF92B6A/MobileMail.app/MobileMail                                                                        
28202   /System/Library/PrivateFrameworks/DocumentManagerCore.framework/XPCServices/com.apple.DocumentManagerCore.Downloads.xpc/com.apple.DocumentManagerCore.Downloads                  
28223   /usr/libexec/symptomsd-diag                                                                                                                                                      
28224   /System/Library/PrivateFrameworks/CacheDelete.framework/deleted                                                                                                                  
28238   /System/Library/PrivateFrameworks/ScreenTimeSettingsFoundation.framework/ScreenTimeSettingsAgent                                                                                 
28239   /System/Library/PrivateFrameworks/ScreenTimeCore.framework/ScreenTimeAgent                                                                                                       
28240   /System/Library/PrivateFrameworks/FamilyCircle.framework/familycircled                                                                                                           
28241   /usr/libexec/appleaccountd                                                                                                                                                       
28242   /System/Library/PrivateFrameworks/CoreFollowUp.framework/followupd                                                                                                               
28243   /System/Library/Frameworks/FamilyControls.framework/FamilyControlsAgent                                                                                                          
28244   /System/Library/Frameworks/ManagedSettings.framework/ManagedSettingsAgent                                                                                                        
28245   /System/Library/PrivateFrameworks/DataMigration.framework/XPCServices/com.apple.datamigrator.xpc/com.apple.datamigrator                                                          
28249   /System/Library/PrivateFrameworks/DeviceConfiguration.framework/deviceconfigurationd                                                                                             
28250   /usr/libexec/misd                                                                                                                                                                
28252   /System/Library/PrivateFrameworks/ActionPredictionHeuristics.framework/XPCServices/HeuristicInterpreter.xpc/HeuristicInterpreter                                                 
28253   /usr/libexec/keybagd                                                                                                                                                             
28255   /System/Library/PrivateFrameworks/CoreCDP.framework/cdpd                                                                                                                         
28256   /usr/libexec/appleidsetupd                                                                                                                                                       
28258   /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon                                                                                  
28260   /System/Library/PrivateFrameworks/FitnessCoachingServices.framework/fitnesscoachingd                                                                                             
28264   /usr/libexec/fskitd                                                                                                                                                              
28267   /System/Library/PrivateFrameworks/UserFS.framework/userfs_helper                                                                                                                 
28269   /System/Library/ExtensionKit/Extensions/com.apple.fskit.exfat.appex/com.apple.fskit.exfat                                                                                        
28270   /usr/libexec/fskit_helper                                                                                                                                                        
28271   /System/Library/ExtensionKit/Extensions/com.apple.fskit.msdos.appex/com.apple.fskit.msdos                                                                                        
28280   /private/preboot/Cryptexes/OS/System/Library/ExtensionKit/Extensions/GPUExtension.appex/com.apple.WebKit.GPU                                                                     
28282   /private/preboot/Cryptexes/OS/System/Library/ExtensionKit/Extensions/NetworkingExtension.appex/com.apple.WebKit.Networking                                                       
28284   /System/Library/Frameworks/Speech.framework/XPCServices/localspeechrecognition.xpc/localspeechrecognition                                                                        
28290   /System/Library/PrivateFrameworks/MapsSupport.framework/nanomapscd                                                                                                               
28291   /System/Library/PrivateFrameworks/MapsSupport.framework/navd                                                                                                                     
28292   /System/Library/PrivateFrameworks/MapsSupport.framework/mapspushd                                                                                                                
28293   /System/Library/PrivateFrameworks/MapsSuggestions.framework/destinationd                                                                                                         
28301   /Applications/Batteries.app/PlugIns/BatteriesAvocadoWidgetExtension.appex/BatteriesAvocadoWidgetExtension                                                                        
28302   /private/var/containers/Bundle/Application/68B5491E-3731-41CE-9362-2395238A6C32/Camera.app/Camera                                                                                
28304   /private/var/containers/Bundle/Application/84268950-3E0F-40A8-A039-74EA09C51172/Stocks.app/PlugIns/StocksWidget.appex/StocksWidget                                               
28305   /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper                                                                                                           
28309   /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd                                                                                                           
28310   /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd                                                                                                  
28311   /System/Library/Frameworks/MapKit.framework/XPCServices/com.apple.MapKit.SnapshotService.xpc/com.apple.MapKit.SnapshotService                                                    
28312   /usr/libexec/replayd                                                                                                                                                             
28313   /System/Library/CoreServices/CacheDeleteAppContainerCaches                                                                                                                       
28314   /usr/libexec/triald                                                                                                                                                              
28315   /System/Library/PrivateFrameworks/MobileBackup.framework/MobileBackupCacheDeleteService                                                                                          
28316   /usr/libexec/sensorkitd                                                                                                                                                          
28317   /private/preboot/Cryptexes/App/usr/libexec/webbookmarksd                                                                                                                         
28318   /System/Library/PrivateFrameworks/MusicLibrary.framework/Support/medialibraryd                                                                                                   
28319   /System/Library/PrivateFrameworks/TrialServer.framework/XPCServices/TrialArchivingService.xpc/TrialArchivingService                                                              
28320   /usr/libexec/countryd                                                                                                                                                            
28321   /usr/libexec/eligibilityd                                                                                                                                                        
28324   /System/Library/PrivateFrameworks/SpaceAttribution.framework/spaceattributiond                                                                                                   
28325   /System/Library/Frameworks/CoreLocation.framework/XPCServices/maphelperservice.xpc/maphelperservice                                                                              
28328   /usr/libexec/wifianalyticsd                                                                                                                                                      
